"US_Congressional_District","Voters_Gender","age_cat","EthnicGroups_EthnicGroup1Desc","CommercialData_Education","Parties_Description","count"
18,"F","18-24","European","HS Diploma","Non-Partisan",332
19,"F","18-24","European","HS Diploma","Non-Partisan",1123
20,"F","18-24","European","HS Diploma","Non-Partisan",581
21,"F","18-24","European","HS Diploma","Non-Partisan",736
22,"F","18-24","European","HS Diploma","Non-Partisan",576
23,"F","18-24","European","HS Diploma","Non-Partisan",362
24,"F","18-24","European","HS Diploma","Non-Partisan",452
25,"F","18-24","European","HS Diploma","Non-Partisan",828
26,"F","18-24","European","HS Diploma","Non-Partisan",1283
27,"F","18-24","European","HS Diploma","Non-Partisan",640
28,"F","18-24","European","HS Diploma","Non-Partisan",219
29,"F","18-24","European","HS Diploma","Non-Partisan",204
30,"F","18-24","European","HS Diploma","Non-Partisan",69
31,"F","18-24","European","HS Diploma","Non-Partisan",931
32,"F","18-24","European","HS Diploma","Non-Partisan",207
33,"F","18-24","European","HS Diploma","Non-Partisan",233
34,"F","18-24","European","HS Diploma","Non-Partisan",112
35,"F","18-24","European","HS Diploma","Non-Partisan",804
36,"F","18-24","European","HS Diploma","Non-Partisan",964
1,"M","18-24","European","HS Diploma","Non-Partisan",1006
2,"M","18-24","European","HS Diploma","Non-Partisan",624
3,"M","18-24","European","HS Diploma","Non-Partisan",810
4,"M","18-24","European","HS Diploma","Non-Partisan",1168
5,"M","18-24","European","HS Diploma","Non-Partisan",823
6,"M","18-24","European","HS Diploma","Non-Partisan",845
7,"M","18-24","European","HS Diploma","Non-Partisan",364
8,"M","18-24","European","HS Diploma","Non-Partisan",925
9,"M","18-24","European","HS Diploma","Non-Partisan",197
10,"M","18-24","European","HS Diploma","Non-Partisan",778
11,"M","18-24","European","HS Diploma","Non-Partisan",855
12,"M","18-24","European","HS Diploma","Non-Partisan",1001
13,"M","18-24","European","HS Diploma","Non-Partisan",933
14,"M","18-24","European","HS Diploma","Non-Partisan",725
15,"M","18-24","European","HS Diploma","Non-Partisan",246
16,"M","18-24","European","HS Diploma","Non-Partisan",321
17,"M","18-24","European","HS Diploma","Non-Partisan",1275
18,"M","18-24","European","HS Diploma","Non-Partisan",288
19,"M","18-24","European","HS Diploma","Non-Partisan",1049
20,"M","18-24","European","HS Diploma","Non-Partisan",523
21,"M","18-24","European","HS Diploma","Non-Partisan",921
22,"M","18-24","European","HS Diploma","Non-Partisan",535
23,"M","18-24","European","HS Diploma","Non-Partisan",409
24,"M","18-24","European","HS Diploma","Non-Partisan",573
25,"M","18-24","European","HS Diploma","Non-Partisan",1159
26,"M","18-24","European","HS Diploma","Non-Partisan",1113
27,"M","18-24","European","HS Diploma","Non-Partisan",581
28,"M","18-24","European","HS Diploma","Non-Partisan",281
29,"M","18-24","European","HS Diploma","Non-Partisan",191
30,"M","18-24","European","HS Diploma","Non-Partisan",263
31,"M","18-24","European","HS Diploma","Non-Partisan",934
32,"M","18-24","European","HS Diploma","Non-Partisan",538
33,"M","18-24","European","HS Diploma","Non-Partisan",281
34,"M","18-24","European","HS Diploma","Non-Partisan",188
35,"M","18-24","European","HS Diploma","Non-Partisan",798
36,"M","18-24","European","HS Diploma","Non-Partisan",939
1,"F","25-34","European","HS Diploma","Non-Partisan",2250
2,"F","25-34","European","HS Diploma","Non-Partisan",1204
3,"F","25-34","European","HS Diploma","Non-Partisan",1251
4,"F","25-34","European","HS Diploma","Non-Partisan",2547
5,"F","25-34","European","HS Diploma","Non-Partisan",1535
6,"F","25-34","European","HS Diploma","Non-Partisan",1697
7,"F","25-34","European","HS Diploma","Non-Partisan",878
8,"F","25-34","European","HS Diploma","Non-Partisan",1963
9,"F","25-34","European","HS Diploma","Non-Partisan",539
10,"F","25-34","European","HS Diploma","Non-Partisan",1367
11,"F","25-34","European","HS Diploma","Non-Partisan",1664
12,"F","25-34","European","HS Diploma","Non-Partisan",2081
13,"F","25-34","European","HS Diploma","Non-Partisan",1718
14,"F","25-34","European","HS Diploma","Non-Partisan",1541
15,"F","25-34","European","HS Diploma","Non-Partisan",355
16,"F","25-34","European","HS Diploma","Non-Partisan",277
17,"F","25-34","European","HS Diploma","Non-Partisan",1767
18,"F","25-34","European","HS Diploma","Non-Partisan",829
19,"F","25-34","European","HS Diploma","Non-Partisan",1612
20,"F","25-34","European","HS Diploma","Non-Partisan",864
21,"F","25-34","European","HS Diploma","Non-Partisan",1303
22,"F","25-34","European","HS Diploma","Non-Partisan",929
23,"F","25-34","European","HS Diploma","Non-Partisan",601
24,"F","25-34","European","HS Diploma","Non-Partisan",1171
25,"F","25-34","European","HS Diploma","Non-Partisan",1626
26,"F","25-34","European","HS Diploma","Non-Partisan",1678
27,"F","25-34","European","HS Diploma","Non-Partisan",1133
28,"F","25-34","European","HS Diploma","Non-Partisan",476
29,"F","25-34","European","HS Diploma","Non-Partisan",533
30,"F","25-34","European","HS Diploma","Non-Partisan",441
31,"F","25-34","European","HS Diploma","Non-Partisan",1735
32,"F","25-34","European","HS Diploma","Non-Partisan",747
33,"F","25-34","European","HS Diploma","Non-Partisan",740
34,"F","25-34","European","HS Diploma","Non-Partisan",247
35,"F","25-34","European","HS Diploma","Non-Partisan",1089
36,"F","25-34","European","HS Diploma","Non-Partisan",2155
1,"M","25-34","European","HS Diploma","Non-Partisan",1710
2,"M","25-34","European","HS Diploma","Non-Partisan",996
3,"M","25-34","European","HS Diploma","Non-Partisan",1033
4,"M","25-34","European","HS Diploma","Non-Partisan",1912
5,"M","25-34","European","HS Diploma","Non-Partisan",1391
6,"M","25-34","European","HS Diploma","Non-Partisan",1274
7,"M","25-34","European","HS Diploma","Non-Partisan",677
8,"M","25-34","European","HS Diploma","Non-Partisan",1521
9,"M","25-34","European","HS Diploma","Non-Partisan",440
10,"M","25-34","European","HS Diploma","Non-Partisan",1451
11,"M","25-34","European","HS Diploma","Non-Partisan",1550
12,"M","25-34","European","HS Diploma","Non-Partisan",1674
13,"M","25-34","European","HS Diploma","Non-Partisan",1611
14,"M","25-34","European","HS Diploma","Non-Partisan",1256
15,"M","25-34","European","HS Diploma","Non-Partisan",352
16,"M","25-34","European","HS Diploma","Non-Partisan",438
17,"M","25-34","European","HS Diploma","Non-Partisan",1548
18,"M","25-34","European","HS Diploma","Non-Partisan",683
19,"M","25-34","European","HS Diploma","Non-Partisan",1326
20,"M","25-34","European","HS Diploma","Non-Partisan",670
21,"M","25-34","European","HS Diploma","Non-Partisan",1432
22,"M","25-34","European","HS Diploma","Non-Partisan",788
23,"M","25-34","European","HS Diploma","Non-Partisan",612
24,"M","25-34","European","HS Diploma","Non-Partisan",1110
25,"M","25-34","European","HS Diploma","Non-Partisan",1635
26,"M","25-34","European","HS Diploma","Non-Partisan",1494
27,"M","25-34","European","HS Diploma","Non-Partisan",996
28,"M","25-34","European","HS Diploma","Non-Partisan",466
29,"M","25-34","European","HS Diploma","Non-Partisan",451
30,"M","25-34","European","HS Diploma","Non-Partisan",546
31,"M","25-34","European","HS Diploma","Non-Partisan",1534
32,"M","25-34","European","HS Diploma","Non-Partisan",1061
33,"M","25-34","European","HS Diploma","Non-Partisan",671
34,"M","25-34","European","HS Diploma","Non-Partisan",281
35,"M","25-34","European","HS Diploma","Non-Partisan",1356
36,"M","25-34","European","HS Diploma","Non-Partisan",1790
1,"F","35-44","European","HS Diploma","Non-Partisan",1735
2,"F","35-44","European","HS Diploma","Non-Partisan",982
3,"F","35-44","European","HS Diploma","Non-Partisan",1122
4,"F","35-44","European","HS Diploma","Non-Partisan",2221
5,"F","35-44","European","HS Diploma","Non-Partisan",1665
6,"F","35-44","European","HS Diploma","Non-Partisan",1422
7,"F","35-44","European","HS Diploma","Non-Partisan",684
8,"F","35-44","European","HS Diploma","Non-Partisan",1684
9,"F","35-44","European","HS Diploma","Non-Partisan",455
10,"F","35-44","European","HS Diploma","Non-Partisan",1333
11,"F","35-44","European","HS Diploma","Non-Partisan",1357
12,"F","35-44","European","HS Diploma","Non-Partisan",1651
13,"F","35-44","European","HS Diploma","Non-Partisan",1589
14,"F","35-44","European","HS Diploma","Non-Partisan",1399
15,"F","35-44","European","HS Diploma","Non-Partisan",363
16,"F","35-44","European","HS Diploma","Non-Partisan",349
17,"F","35-44","European","HS Diploma","Non-Partisan",1293
18,"F","35-44","European","HS Diploma","Non-Partisan",625
19,"F","35-44","European","HS Diploma","Non-Partisan",1154
20,"F","35-44","European","HS Diploma","Non-Partisan",586
21,"F","35-44","European","HS Diploma","Non-Partisan",1089
22,"F","35-44","European","HS Diploma","Non-Partisan",920
23,"F","35-44","European","HS Diploma","Non-Partisan",613
24,"F","35-44","European","HS Diploma","Non-Partisan",999
25,"F","35-44","European","HS Diploma","Non-Partisan",1627
26,"F","35-44","European","HS Diploma","Non-Partisan",1528
27,"F","35-44","European","HS Diploma","Non-Partisan",948
28,"F","35-44","European","HS Diploma","Non-Partisan",481
29,"F","35-44","European","HS Diploma","Non-Partisan",471
30,"F","35-44","European","HS Diploma","Non-Partisan",511
31,"F","35-44","European","HS Diploma","Non-Partisan",1542
32,"F","35-44","European","HS Diploma","Non-Partisan",977
33,"F","35-44","European","HS Diploma","Non-Partisan",686
34,"F","35-44","European","HS Diploma","Non-Partisan",247
35,"F","35-44","European","HS Diploma","Non-Partisan",883
36,"F","35-44","European","HS Diploma","Non-Partisan",2026
1,"M","35-44","European","HS Diploma","Non-Partisan",1375
2,"M","35-44","European","HS Diploma","Non-Partisan",840
3,"M","35-44","European","HS Diploma","Non-Partisan",955
4,"M","35-44","European","HS Diploma","Non-Partisan",1603
5,"M","35-44","European","HS Diploma","Non-Partisan",1186
6,"M","35-44","European","HS Diploma","Non-Partisan",1034
7,"M","35-44","European","HS Diploma","Non-Partisan",550
8,"M","35-44","European","HS Diploma","Non-Partisan",1356
9,"M","35-44","European","HS Diploma","Non-Partisan",387
10,"M","35-44","European","HS Diploma","Non-Partisan",1113
11,"M","35-44","European","HS Diploma","Non-Partisan",1214
12,"M","35-44","European","HS Diploma","Non-Partisan",1430
13,"M","35-44","European","HS Diploma","Non-Partisan",1316
14,"M","35-44","European","HS Diploma","Non-Partisan",1100
15,"M","35-44","European","HS Diploma","Non-Partisan",327
16,"M","35-44","European","HS Diploma","Non-Partisan",352
17,"M","35-44","European","HS Diploma","Non-Partisan",1078
18,"M","35-44","European","HS Diploma","Non-Partisan",560
19,"M","35-44","European","HS Diploma","Non-Partisan",988
20,"M","35-44","European","HS Diploma","Non-Partisan",549
21,"M","35-44","European","HS Diploma","Non-Partisan",1048
22,"M","35-44","European","HS Diploma","Non-Partisan",702
23,"M","35-44","European","HS Diploma","Non-Partisan",474
24,"M","35-44","European","HS Diploma","Non-Partisan",870
25,"M","35-44","European","HS Diploma","Non-Partisan",1435
26,"M","35-44","European","HS Diploma","Non-Partisan",1214
27,"M","35-44","European","HS Diploma","Non-Partisan",851
28,"M","35-44","European","HS Diploma","Non-Partisan",437
29,"M","35-44","European","HS Diploma","Non-Partisan",387
30,"M","35-44","European","HS Diploma","Non-Partisan",558
31,"M","35-44","European","HS Diploma","Non-Partisan",1280
32,"M","35-44","European","HS Diploma","Non-Partisan",780
33,"M","35-44","European","HS Diploma","Non-Partisan",614
34,"M","35-44","European","HS Diploma","Non-Partisan",261
35,"M","35-44","European","HS Diploma","Non-Partisan",857
36,"M","35-44","European","HS Diploma","Non-Partisan",1555
1,"F","45-54","European","HS Diploma","Non-Partisan",1817
2,"F","45-54","European","HS Diploma","Non-Partisan",988
3,"F","45-54","European","HS Diploma","Non-Partisan",1181
4,"F","45-54","European","HS Diploma","Non-Partisan",2291
5,"F","45-54","European","HS Diploma","Non-Partisan",1722
6,"F","45-54","European","HS Diploma","Non-Partisan",1462
7,"F","45-54","European","HS Diploma","Non-Partisan",673
8,"F","45-54","European","HS Diploma","Non-Partisan",1847
9,"F","45-54","European","HS Diploma","Non-Partisan",493
10,"F","45-54","European","HS Diploma","Non-Partisan",1210
11,"F","45-54","European","HS Diploma","Non-Partisan",1449
12,"F","45-54","European","HS Diploma","Non-Partisan",1746
13,"F","45-54","European","HS Diploma","Non-Partisan",1484
14,"F","45-54","European","HS Diploma","Non-Partisan",1507
15,"F","45-54","European","HS Diploma","Non-Partisan",378
16,"F","45-54","European","HS Diploma","Non-Partisan",333
17,"F","45-54","European","HS Diploma","Non-Partisan",1354
18,"F","45-54","European","HS Diploma","Non-Partisan",588
19,"F","45-54","European","HS Diploma","Non-Partisan",1159
20,"F","45-54","European","HS Diploma","Non-Partisan",624
21,"F","45-54","European","HS Diploma","Non-Partisan",1052
22,"F","45-54","European","HS Diploma","Non-Partisan",988
23,"F","45-54","European","HS Diploma","Non-Partisan",558
24,"F","45-54","European","HS Diploma","Non-Partisan",1086
25,"F","45-54","European","HS Diploma","Non-Partisan",1680
26,"F","45-54","European","HS Diploma","Non-Partisan",1614
27,"F","45-54","European","HS Diploma","Non-Partisan",983
28,"F","45-54","European","HS Diploma","Non-Partisan",494
29,"F","45-54","European","HS Diploma","Non-Partisan",490
30,"F","45-54","European","HS Diploma","Non-Partisan",589
31,"F","45-54","European","HS Diploma","Non-Partisan",1508
32,"F","45-54","European","HS Diploma","Non-Partisan",1016
33,"F","45-54","European","HS Diploma","Non-Partisan",733
34,"F","45-54","European","HS Diploma","Non-Partisan",271
35,"F","45-54","European","HS Diploma","Non-Partisan",857
36,"F","45-54","European","HS Diploma","Non-Partisan",2115
1,"M","45-54","European","HS Diploma","Non-Partisan",1513
2,"M","45-54","European","HS Diploma","Non-Partisan",880
3,"M","45-54","European","HS Diploma","Non-Partisan",950
4,"M","45-54","European","HS Diploma","Non-Partisan",1938
5,"M","45-54","European","HS Diploma","Non-Partisan",1416
6,"M","45-54","European","HS Diploma","Non-Partisan",1308
7,"M","45-54","European","HS Diploma","Non-Partisan",543
8,"M","45-54","European","HS Diploma","Non-Partisan",1549
9,"M","45-54","European","HS Diploma","Non-Partisan",361
10,"M","45-54","European","HS Diploma","Non-Partisan",1144
11,"M","45-54","European","HS Diploma","Non-Partisan",1291
12,"M","45-54","European","HS Diploma","Non-Partisan",1641
13,"M","45-54","European","HS Diploma","Non-Partisan",1485
14,"M","45-54","European","HS Diploma","Non-Partisan",1311
15,"M","45-54","European","HS Diploma","Non-Partisan",355
16,"M","45-54","European","HS Diploma","Non-Partisan",327
17,"M","45-54","European","HS Diploma","Non-Partisan",1113
18,"M","45-54","European","HS Diploma","Non-Partisan",625
19,"M","45-54","European","HS Diploma","Non-Partisan",1009
20,"M","45-54","European","HS Diploma","Non-Partisan",492
21,"M","45-54","European","HS Diploma","Non-Partisan",937
22,"M","45-54","European","HS Diploma","Non-Partisan",716
23,"M","45-54","European","HS Diploma","Non-Partisan",558
24,"M","45-54","European","HS Diploma","Non-Partisan",914
25,"M","45-54","European","HS Diploma","Non-Partisan",1469
26,"M","45-54","European","HS Diploma","Non-Partisan",1274
27,"M","45-54","European","HS Diploma","Non-Partisan",936
28,"M","45-54","European","HS Diploma","Non-Partisan",492
29,"M","45-54","European","HS Diploma","Non-Partisan",480
30,"M","45-54","European","HS Diploma","Non-Partisan",643
31,"M","45-54","European","HS Diploma","Non-Partisan",1340
32,"M","45-54","European","HS Diploma","Non-Partisan",850
33,"M","45-54","European","HS Diploma","Non-Partisan",722
34,"M","45-54","European","HS Diploma","Non-Partisan",260
35,"M","45-54","European","HS Diploma","Non-Partisan",812
36,"M","45-54","European","HS Diploma","Non-Partisan",1753
1,"F","55-64","European","HS Diploma","Non-Partisan",2084
2,"F","55-64","European","HS Diploma","Non-Partisan",1022
3,"F","55-64","European","HS Diploma","Non-Partisan",1026
4,"F","55-64","European","HS Diploma","Non-Partisan",2610
5,"F","55-64","European","HS Diploma","Non-Partisan",2019
6,"F","55-64","European","HS Diploma","Non-Partisan",1494
7,"F","55-64","European","HS Diploma","Non-Partisan",658
8,"F","55-64","European","HS Diploma","Non-Partisan",1894
9,"F","55-64","European","HS Diploma","Non-Partisan",538
10,"F","55-64","European","HS Diploma","Non-Partisan",1236
11,"F","55-64","European","HS Diploma","Non-Partisan",1678
12,"F","55-64","European","HS Diploma","Non-Partisan",1977
13,"F","55-64","European","HS Diploma","Non-Partisan",1904
14,"F","55-64","European","HS Diploma","Non-Partisan",1678
15,"F","55-64","European","HS Diploma","Non-Partisan",464
16,"F","55-64","European","HS Diploma","Non-Partisan",339
17,"F","55-64","European","HS Diploma","Non-Partisan",1394
18,"F","55-64","European","HS Diploma","Non-Partisan",644
19,"F","55-64","European","HS Diploma","Non-Partisan",1313
20,"F","55-64","European","HS Diploma","Non-Partisan",534
21,"F","55-64","European","HS Diploma","Non-Partisan",1106
22,"F","55-64","European","HS Diploma","Non-Partisan",807
23,"F","55-64","European","HS Diploma","Non-Partisan",592
24,"F","55-64","European","HS Diploma","Non-Partisan",1110
25,"F","55-64","European","HS Diploma","Non-Partisan",1734
26,"F","55-64","European","HS Diploma","Non-Partisan",1374
27,"F","55-64","European","HS Diploma","Non-Partisan",1218
28,"F","55-64","European","HS Diploma","Non-Partisan",543
29,"F","55-64","European","HS Diploma","Non-Partisan",597
30,"F","55-64","European","HS Diploma","Non-Partisan",686
31,"F","55-64","European","HS Diploma","Non-Partisan",1592
32,"F","55-64","European","HS Diploma","Non-Partisan",930
33,"F","55-64","European","HS Diploma","Non-Partisan",872
34,"F","55-64","European","HS Diploma","Non-Partisan",373
35,"F","55-64","European","HS Diploma","Non-Partisan",878
36,"F","55-64","European","HS Diploma","Non-Partisan",2393
1,"M","55-64","European","HS Diploma","Non-Partisan",1892
2,"M","55-64","European","HS Diploma","Non-Partisan",840
3,"M","55-64","European","HS Diploma","Non-Partisan",768
4,"M","55-64","European","HS Diploma","Non-Partisan",2305
5,"M","55-64","European","HS Diploma","Non-Partisan",1723
6,"M","55-64","European","HS Diploma","Non-Partisan",1316
7,"M","55-64","European","HS Diploma","Non-Partisan",468
8,"M","55-64","European","HS Diploma","Non-Partisan",1669
9,"M","55-64","European","HS Diploma","Non-Partisan",450
10,"M","55-64","European","HS Diploma","Non-Partisan",1177
11,"M","55-64","European","HS Diploma","Non-Partisan",1626
12,"M","55-64","European","HS Diploma","Non-Partisan",1674
13,"M","55-64","European","HS Diploma","Non-Partisan",1758
14,"M","55-64","European","HS Diploma","Non-Partisan",1633
15,"M","55-64","European","HS Diploma","Non-Partisan",435
16,"M","55-64","European","HS Diploma","Non-Partisan",355
17,"M","55-64","European","HS Diploma","Non-Partisan",1319
18,"M","55-64","European","HS Diploma","Non-Partisan",693
19,"M","55-64","European","HS Diploma","Non-Partisan",1204
20,"M","55-64","European","HS Diploma","Non-Partisan",448
21,"M","55-64","European","HS Diploma","Non-Partisan",944
22,"M","55-64","European","HS Diploma","Non-Partisan",694
23,"M","55-64","European","HS Diploma","Non-Partisan",557
24,"M","55-64","European","HS Diploma","Non-Partisan",925
25,"M","55-64","European","HS Diploma","Non-Partisan",1480
26,"M","55-64","European","HS Diploma","Non-Partisan",1103
27,"M","55-64","European","HS Diploma","Non-Partisan",1271
28,"M","55-64","European","HS Diploma","Non-Partisan",486
29,"M","55-64","European","HS Diploma","Non-Partisan",638
30,"M","55-64","European","HS Diploma","Non-Partisan",724
31,"M","55-64","European","HS Diploma","Non-Partisan",1226
32,"M","55-64","European","HS Diploma","Non-Partisan",812
33,"M","55-64","European","HS Diploma","Non-Partisan",897
34,"M","55-64","European","HS Diploma","Non-Partisan",352
35,"M","55-64","European","HS Diploma","Non-Partisan",915
36,"M","55-64","European","HS Diploma","Non-Partisan",2247
1,"F","65_or_older","European","HS Diploma","Non-Partisan",2853
2,"F","65_or_older","European","HS Diploma","Non-Partisan",1282
3,"F","65_or_older","European","HS Diploma","Non-Partisan",1519
4,"F","65_or_older","European","HS Diploma","Non-Partisan",3328
5,"F","65_or_older","European","HS Diploma","Non-Partisan",2375
6,"F","65_or_older","European","HS Diploma","Non-Partisan",1838
7,"F","65_or_older","European","HS Diploma","Non-Partisan",799
8,"F","65_or_older","European","HS Diploma","Non-Partisan",2472
9,"F","65_or_older","European","HS Diploma","Non-Partisan",528
10,"F","65_or_older","European","HS Diploma","Non-Partisan",1584
11,"F","65_or_older","European","HS Diploma","Non-Partisan",2207
12,"F","65_or_older","European","HS Diploma","Non-Partisan",2410
13,"F","65_or_older","European","HS Diploma","Non-Partisan",2475
14,"F","65_or_older","European","HS Diploma","Non-Partisan",2086
15,"F","65_or_older","European","HS Diploma","Non-Partisan",700
16,"F","65_or_older","European","HS Diploma","Non-Partisan",435
17,"F","65_or_older","European","HS Diploma","Non-Partisan",1746
18,"F","65_or_older","European","HS Diploma","Non-Partisan",671
19,"F","65_or_older","European","HS Diploma","Non-Partisan",1805
20,"F","65_or_older","European","HS Diploma","Non-Partisan",795
21,"F","65_or_older","European","HS Diploma","Non-Partisan",1640
22,"F","65_or_older","European","HS Diploma","Non-Partisan",1127
23,"F","65_or_older","European","HS Diploma","Non-Partisan",631
24,"F","65_or_older","European","HS Diploma","Non-Partisan",1300
25,"F","65_or_older","European","HS Diploma","Non-Partisan",1994
26,"F","65_or_older","European","HS Diploma","Non-Partisan",1808
27,"F","65_or_older","European","HS Diploma","Non-Partisan",1584
28,"F","65_or_older","European","HS Diploma","Non-Partisan",783
29,"F","65_or_older","European","HS Diploma","Non-Partisan",735
30,"F","65_or_older","European","HS Diploma","Non-Partisan",723
31,"F","65_or_older","European","HS Diploma","Non-Partisan",2044
32,"F","65_or_older","European","HS Diploma","Non-Partisan",1287
33,"F","65_or_older","European","HS Diploma","Non-Partisan",961
34,"F","65_or_older","European","HS Diploma","Non-Partisan",683
35,"F","65_or_older","European","HS Diploma","Non-Partisan",967
36,"F","65_or_older","European","HS Diploma","Non-Partisan",2996
1,"M","65_or_older","European","HS Diploma","Non-Partisan",1698
2,"M","65_or_older","European","HS Diploma","Non-Partisan",554
3,"M","65_or_older","European","HS Diploma","Non-Partisan",554
4,"M","65_or_older","European","HS Diploma","Non-Partisan",2020
5,"M","65_or_older","European","HS Diploma","Non-Partisan",1506
6,"M","65_or_older","European","HS Diploma","Non-Partisan",942
7,"M","65_or_older","European","HS Diploma","Non-Partisan",350
8,"M","65_or_older","European","HS Diploma","Non-Partisan",1404
9,"M","65_or_older","European","HS Diploma","Non-Partisan",370
10,"M","65_or_older","European","HS Diploma","Non-Partisan",847
11,"M","65_or_older","European","HS Diploma","Non-Partisan",1385
12,"M","65_or_older","European","HS Diploma","Non-Partisan",1365
13,"M","65_or_older","European","HS Diploma","Non-Partisan",1501
14,"M","65_or_older","European","HS Diploma","Non-Partisan",1239
15,"M","65_or_older","European","HS Diploma","Non-Partisan",426
16,"M","65_or_older","European","HS Diploma","Non-Partisan",300
17,"M","65_or_older","European","HS Diploma","Non-Partisan",1079
18,"M","65_or_older","European","HS Diploma","Non-Partisan",424
19,"M","65_or_older","European","HS Diploma","Non-Partisan",1073
20,"M","65_or_older","European","HS Diploma","Non-Partisan",361
21,"M","65_or_older","European","HS Diploma","Non-Partisan",883
22,"M","65_or_older","European","HS Diploma","Non-Partisan",544
23,"M","65_or_older","European","HS Diploma","Non-Partisan",424
24,"M","65_or_older","European","HS Diploma","Non-Partisan",591
25,"M","65_or_older","European","HS Diploma","Non-Partisan",1243
26,"M","65_or_older","European","HS Diploma","Non-Partisan",809
27,"M","65_or_older","European","HS Diploma","Non-Partisan",1064
28,"M","65_or_older","European","HS Diploma","Non-Partisan",524
29,"M","65_or_older","European","HS Diploma","Non-Partisan",493
30,"M","65_or_older","European","HS Diploma","Non-Partisan",423
31,"M","65_or_older","European","HS Diploma","Non-Partisan",1013
32,"M","65_or_older","European","HS Diploma","Non-Partisan",534
33,"M","65_or_older","European","HS Diploma","Non-Partisan",636
34,"M","65_or_older","European","HS Diploma","Non-Partisan",481
35,"M","65_or_older","European","HS Diploma","Non-Partisan",575
36,"M","65_or_older","European","HS Diploma","Non-Partisan",2223
1,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
2,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",10
3,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",7
4,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",2
5,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",1
6,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",8
7,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",2
8,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",4
9,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",3
10,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",4
11,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
12,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",5
13,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",3
14,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",7
15,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",1
17,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",5
18,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",5
19,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
20,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",7
21,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",7
22,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",5
23,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
25,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",3
26,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
27,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",3
28,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",2
29,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",5
30,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",1
31,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",9
32,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",1
33,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
35,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
36,"F","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",8
1,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
2,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",5
3,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
4,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",4
5,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",4
6,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",10
7,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",2
8,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",9
9,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",4
10,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",5
11,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",3
12,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",1
13,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",5
14,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",7
15,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",2
16,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",4
17,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",4
18,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",4
19,"M","18-24","Hispanic and Portuguese","HS Diploma","Non-Partisan",6
