FB_el_type,FB_survey_party,FB_week_to_el,Voters_Gender,age_cat,EthnicGroups_EthnicGroup1Desc,CommercialData_Education,Parties_Description,ID
US House,Rep,5,F,65_or_older,European,NA,Republican,2360
US House,Dem,0,F,55-64,European,Some College -Extremely Likely,Democratic,2359
US House,Dem,1,M,65_or_older,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2361
US House,Dem,6,F,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2362
US House,Dem,1,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2363
US House,Dem,1,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2363
US House,Rep,3,F,45-54,Hispanic and Portuguese,NA,Democratic,2364
US House,Dem,1,F,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2362
US House,Dem,0,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2363
US House,Dem,0,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2363
US Senate,Dem,4,M,45-54,European,NA,Democratic,2365
US House,Rep,0,F,45-54,Hispanic and Portuguese,NA,Democratic,2366
US House,Rep,5,M,45-54,Hispanic and Portuguese,Less than HS Diploma - Likely,Republican,2367
US House,Dem,5,M,45-54,Hispanic and Portuguese,Less than HS Diploma - Likely,Republican,2367
US House,Rep,1,M,45-54,Hispanic and Portuguese,Less than HS Diploma - Likely,Republican,2367
US House,Rep,3,M,65_or_older,European,Bach Degree - Extremely Likely,Republican,2368
US House,Dem,2,F,25-34,European,Some College - Likely,Republican,2369
US House,Dem,3,F,18-24,European,Some College - Likely,Democratic,2370
US Senate,Dem,0,F,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2371
US House,Rep,6,F,55-64,Likely African-American,NA,Democratic,2372
US House,Dem,4,F,65_or_older,European,Some College -Extremely Likely,Democratic,2373
US House,Rep,2,F,65_or_older,European,Bach Degree - Likely,Republican,2374
US House,Dem,3,F,65_or_older,Likely African-American,NA,Democratic,2375
US House,Dem,2,F,65_or_older,Likely African-American,NA,Democratic,2375
US House,Dem,6,F,45-54,NA,NA,Non-Partisan,2376
US Senate,Rep,2,F,55-64,Hispanic and Portuguese,NA,Democratic,2377
US House,Rep,3,F,45-54,European,Some College - Likely,Non-Partisan,2378
US Senate,Dem,3,F,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2379
US House,Rep,3,F,45-54,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,2380
US House,Dem,6,F,35-44,Hispanic and Portuguese,NA,Democratic,2381
US House,Rep,1,F,45-54,Hispanic and Portuguese,HS Diploma - Likely,Republican,2382
US House,Dem,3,F,35-44,NA,Less than HS Diploma - Likely,Democratic,2383
US Senate,Dem,6,F,35-44,European,NA,Republican,2384
US House,Dem,1,F,25-34,European,NA,Non-Partisan,2385
US House,Dem,0,F,25-34,European,NA,Non-Partisan,2385
US House,Dem,0,F,25-34,European,NA,Non-Partisan,2385
US House,Dem,5,M,65_or_older,NA,Less than HS Diploma - Likely,Democratic,2386
US House,Dem,3,M,65_or_older,NA,Less than HS Diploma - Likely,Democratic,2386
US House,Dem,3,M,65_or_older,NA,Less than HS Diploma - Likely,Democratic,2386
US House,Dem,2,M,65_or_older,NA,Less than HS Diploma - Likely,Democratic,2386
US House,Rep,0,F,18-24,Hispanic and Portuguese,NA,Republican,2387
US House,Rep,5,F,25-34,European,Bach Degree - Likely,Republican,2388
US House,Rep,2,F,25-34,European,NA,Democratic,2389
US Senate,Dem,5,F,18-24,NA,Some College - Likely,Democratic,2390
US House,Rep,3,F,35-44,European,NA,Democratic,2391
US House,Dem,2,F,35-44,European,NA,Democratic,2391
US House,Dem,0,F,25-34,European,Bach Degree - Likely,Non-Partisan,2392
US House,Dem,2,F,35-44,European,Some College - Likely,Democratic,2393
US House,Dem,2,F,35-44,European,Some College - Likely,Democratic,2393
US Senate,Dem,1,F,25-34,Likely African-American,NA,Democratic,2394
US Senate,Dem,0,F,25-34,Likely African-American,NA,Democratic,2394
US Senate,Dem,0,F,25-34,Likely African-American,NA,Democratic,2394
US House,Dem,6,F,25-34,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2395
US House,Dem,4,F,18-24,Hispanic and Portuguese,Some College - Likely,Democratic,2396
US House,Dem,0,F,18-24,Hispanic and Portuguese,Some College - Likely,Democratic,2396
US Senate,Dem,2,F,25-34,Hispanic and Portuguese,NA,Democratic,2397
US House,Dem,4,F,45-54,European,NA,Non-Partisan,2398
US House,Dem,3,F,18-24,NA,Bach Degree - Likely,Republican,2399
US House,Rep,1,F,35-44,European,NA,Non-Partisan,2400
US House,Dem,4,F,25-34,European,Some College - Likely,Non-Partisan,2401
US House,Dem,3,F,25-34,European,Some College - Likely,Non-Partisan,2401
US House,Rep,1,F,18-24,European,Some College - Likely,Republican,2402
US Senate,Rep,3,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US House,Dem,0,F,18-24,Hispanic and Portuguese,NA,Democratic,2404
US Senate,Rep,1,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,0,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,0,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,2,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,2,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,4,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,4,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,4,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,3,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,3,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US Senate,Rep,3,F,18-24,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2403
US House,Dem,4,F,18-24,Hispanic and Portuguese,NA,Democratic,2405
US House,Dem,5,M,55-64,European,HS Diploma - Extremely Likely,Non-Partisan,2406
US House,Dem,3,F,18-24,Hispanic and Portuguese,NA,Democratic,2407
US Senate,Dem,2,M,45-54,Likely African-American,Bach Degree - Likely,Democratic,2408
US House,Rep,6,F,65_or_older,European,Bach Degree - Likely,Non-Partisan,2409
US House,Rep,5,F,65_or_older,European,Bach Degree - Likely,Non-Partisan,2409
US House,Rep,5,F,65_or_older,European,Bach Degree - Likely,Non-Partisan,2409
US House,Rep,5,F,65_or_older,European,Bach Degree - Likely,Non-Partisan,2409
US House,Rep,4,F,65_or_older,European,Bach Degree - Likely,Non-Partisan,2409
US House,Dem,1,M,55-64,Likely African-American,Grad Degree - Likely,Democratic,2410
US House,Rep,2,F,65_or_older,European,Bach Degree - Likely,Non-Partisan,2409
US House,Rep,1,F,65_or_older,European,Bach Degree - Likely,Non-Partisan,2409
US House,Rep,6,F,18-24,Hispanic and Portuguese,NA,Republican,2411
US House,Rep,5,F,18-24,Hispanic and Portuguese,NA,Republican,2411
US House,Rep,4,F,18-24,Hispanic and Portuguese,NA,Republican,2411
US House,Rep,0,F,18-24,Hispanic and Portuguese,NA,Republican,2411
US House,Rep,0,F,18-24,Hispanic and Portuguese,NA,Republican,2411
US House,Rep,1,F,18-24,Hispanic and Portuguese,NA,Republican,2411
US House,Rep,0,F,18-24,Hispanic and Portuguese,NA,Republican,2411
US Senate,Rep,6,F,18-24,Hispanic and Portuguese,NA,Republican,2412
US House,Dem,4,F,18-24,Hispanic and Portuguese,NA,Democratic,2413
US House,Dem,3,F,18-24,Hispanic and Portuguese,NA,Democratic,2413
US House,Dem,0,M,35-44,NA,NA,Non-Partisan,2414
US House,Dem,3,M,45-54,European,Some College - Likely,Democratic,2415
US House,Dem,2,M,45-54,European,Some College - Likely,Democratic,2415
US House,Dem,3,F,18-24,Hispanic and Portuguese,NA,Democratic,2416
US House,Dem,0,M,45-54,European,Some College - Likely,Democratic,2415
US House,Rep,3,M,65_or_older,European,Bach Degree - Extremely Likely,Republican,2417
US House,Dem,4,M,55-64,European,Bach Degree - Extremely Likely,Democratic,2418
US House,Rep,5,M,25-34,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2419
US House,Rep,0,M,45-54,European,Some College - Likely,Non-Partisan,2420
US House,Dem,5,F,18-24,East and South Asian,Some College - Likely,Democratic,2421
US House,Rep,6,M,45-54,Hispanic and Portuguese,NA,Democratic,2422
US Senate,Rep,4,M,35-44,European,Some College - Likely,Republican,2423
US Senate,Rep,2,M,65_or_older,European,NA,Republican,2424
US House,Dem,1,M,35-44,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,2425
US House,Dem,4,M,45-54,European,Bach Degree - Likely,Democratic,2426
US House,Rep,6,M,25-34,European,NA,Republican,2427
US Senate,Rep,5,M,35-44,European,NA,Republican,2428
US House,Dem,5,M,18-24,Hispanic and Portuguese,NA,Democratic,2429
US House,Dem,6,M,55-64,European,NA,Non-Partisan,2430
US House,Dem,1,M,25-34,Hispanic and Portuguese,NA,Democratic,2431
US House,Rep,5,M,35-44,Likely African-American,NA,Democratic,2432
US House,Rep,4,M,65_or_older,European,Some College -Extremely Likely,Non-Partisan,2433
US House,Rep,2,M,18-24,European,Some College - Likely,Republican,2434
US Senate,Rep,6,M,18-24,European,NA,Republican,2435
US Senate,Rep,2,M,35-44,European,Some College - Likely,Republican,2436
US Senate,Rep,2,M,25-34,European,Some College - Likely,Republican,2437
US House,Dem,0,M,18-24,European,Bach Degree - Likely,Democratic,2438
US House,Dem,0,M,18-24,European,NA,Democratic,2439
US House,Rep,2,M,55-64,European,Vocational Technical Degree - Extremely Likely,Democratic,2440
US House,Rep,2,M,55-64,European,Vocational Technical Degree - Extremely Likely,Democratic,2440
US Senate,Rep,1,M,25-34,European,Bach Degree - Extremely Likely,Republican,2441
US House,Rep,1,M,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Republican,2442
US House,Rep,6,M,18-24,European,Some College - Likely,Republican,2443
US House,Rep,6,M,18-24,European,Some College - Likely,Republican,2443
US House,Rep,5,M,18-24,European,Some College - Likely,Republican,2443
US House,Rep,5,M,18-24,European,Some College - Likely,Republican,2443
US House,Rep,3,M,18-24,European,Some College - Likely,Republican,2444
US House,Rep,1,M,18-24,Hispanic and Portuguese,NA,Democratic,2445
US House,Rep,1,M,18-24,Hispanic and Portuguese,NA,Democratic,2445
US Senate,Rep,1,M,25-34,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,2446
US House,Dem,4,M,18-24,Hispanic and Portuguese,NA,Democratic,2447
US House,Rep,3,M,18-24,European,NA,Republican,2448
US House,Rep,1,M,18-24,European,NA,Republican,2448
US House,Dem,4,M,18-24,European,NA,Democratic,2449
US House,Dem,0,M,18-24,European,NA,Democratic,2449
US House,Dem,0,M,18-24,European,NA,Democratic,2449
US Senate,Rep,4,M,18-24,Hispanic and Portuguese,Some College - Likely,Democratic,2450
US House,Dem,4,M,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2451
US Senate,Rep,5,M,18-24,Hispanic and Portuguese,NA,Democratic,2452
US House,Dem,0,M,18-24,Hispanic and Portuguese,NA,Democratic,2453
US House,Rep,0,F,35-44,European,NA,Republican,2454
US House,Rep,5,F,65_or_older,European,NA,Republican,2455
US House,Rep,4,F,65_or_older,European,NA,Republican,2455
US House,Rep,0,M,65_or_older,European,Grad Degree - Likely,Republican,2456
US Senate,Dem,0,F,55-64,Hispanic and Portuguese,HS Diploma - Likely,Republican,2457
US Senate,Dem,4,F,55-64,Hispanic and Portuguese,HS Diploma - Likely,Republican,2457
US Senate,Rep,0,M,45-54,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2458
US House,Dem,6,F,55-64,European,Grad Degree - Extremely Likely,Democratic,2459
US House,Dem,2,F,55-64,European,Grad Degree - Extremely Likely,Democratic,2459
US House,Rep,6,M,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2460
US House,Rep,5,M,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2460
US House,Rep,5,M,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2460
US House,Dem,2,F,55-64,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,2461
US House,Dem,2,F,55-64,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,2461
US House,Dem,2,F,55-64,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,2461
US House,Dem,6,M,45-54,Hispanic and Portuguese,NA,Democratic,2462
US House,Dem,4,M,45-54,Hispanic and Portuguese,NA,Democratic,2462
US House,Dem,2,M,45-54,Hispanic and Portuguese,NA,Democratic,2462
US House,Dem,2,M,45-54,Hispanic and Portuguese,NA,Democratic,2462
US House,Dem,2,M,45-54,Hispanic and Portuguese,NA,Democratic,2462
US House,Dem,0,M,45-54,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2463
US House,Dem,0,M,45-54,Hispanic and Portuguese,NA,Democratic,2462
US House,Rep,5,F,65_or_older,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2464
US House,Rep,2,F,65_or_older,European,HS Diploma - Extremely Likely,Non-Partisan,2465
US House,Dem,3,F,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2466
US House,Dem,3,M,45-54,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2467
US House,Rep,5,F,65_or_older,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2468
US House,Dem,4,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2469
US House,Dem,2,M,45-54,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2467
US House,Dem,1,M,45-54,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2467
US House,Dem,1,M,45-54,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2467
US Senate,Dem,2,F,45-54,Hispanic and Portuguese,NA,Democratic,2470
US House,Dem,3,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2469
US House,Dem,3,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2469
US House,Dem,2,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2469
US House,Dem,1,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2469
US House,Dem,0,M,45-54,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2467
US Senate,Dem,1,F,45-54,Hispanic and Portuguese,NA,Democratic,2470
US Senate,Dem,1,F,45-54,Hispanic and Portuguese,NA,Democratic,2470
US House,Dem,1,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2469
US House,Dem,0,F,65_or_older,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2471
US Senate,Rep,1,M,65_or_older,Hispanic and Portuguese,HS Diploma - Likely,Republican,2472
US House,Rep,5,F,55-64,European,Bach Degree - Extremely Likely,Republican,2473
US House,Rep,5,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2474
US House,Rep,0,M,55-64,Hispanic and Portuguese,NA,Republican,2475
US House,Rep,0,M,55-64,Hispanic and Portuguese,NA,Republican,2475
US House,Dem,0,M,65_or_older,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2476
US House,Rep,1,F,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Republican,2477
US House,Rep,3,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,2478
US House,Dem,2,F,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2479
US House,Rep,0,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,2478
US House,Rep,0,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,2478
US House,Dem,0,F,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2479
US House,Dem,0,F,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2479
US Senate,Rep,4,M,35-44,Hispanic and Portuguese,NA,Democratic,2480
US House,Rep,0,F,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Republican,2481
US House,Rep,0,F,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Republican,2481
US House,Dem,0,M,55-64,Hispanic and Portuguese,NA,Non-Partisan,2482
US House,Rep,0,F,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,2483
US House,Dem,4,F,55-64,European,HS Diploma - Extremely Likely,Democratic,2484
US House,Dem,3,F,55-64,European,HS Diploma - Extremely Likely,Democratic,2484
US House,Dem,2,F,55-64,European,HS Diploma - Extremely Likely,Democratic,2484
US House,Dem,2,F,65_or_older,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2485
US House,Dem,3,M,55-64,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,2486
US House,Dem,0,M,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2487
US Senate,Rep,1,M,45-54,European,Grad Degree - Extremely Likely,Republican,2488
US Senate,Rep,0,M,45-54,European,Grad Degree - Extremely Likely,Republican,2488
US House,Dem,1,M,55-64,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,2486
US House,Rep,0,F,55-64,European,Grad Degree - Extremely Likely,Republican,2489
US House,Rep,2,F,35-44,European,Bach Degree - Extremely Likely,Republican,2490
US House,Rep,5,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,5,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,4,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,4,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,4,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,4,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,2,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2492
US House,Rep,3,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,1,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,1,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,1,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,1,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,0,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,2491
US House,Rep,1,F,35-44,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2493
US Senate,Dem,0,F,45-54,Hispanic and Portuguese,NA,Democratic,2494
US Senate,Dem,0,F,45-54,Hispanic and Portuguese,NA,Democratic,2494
US Senate,Dem,0,F,45-54,Hispanic and Portuguese,NA,Democratic,2494
US Senate,Dem,4,F,45-54,Hispanic and Portuguese,NA,Democratic,2494
US Senate,Dem,4,F,45-54,Hispanic and Portuguese,NA,Democratic,2494
US House,Dem,0,F,55-64,European,Less than HS Diploma - Likely,Democratic,2495
US Senate,Rep,6,F,35-44,European,NA,Republican,2496
US House,Rep,2,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2497
US House,Rep,3,M,55-64,Hispanic and Portuguese,Some College - Likely,Republican,2498
US Senate,Dem,6,F,35-44,Hispanic and Portuguese,Bach Degree - Likely,Democratic,2499
US House,Dem,5,F,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2500
US House,Dem,4,F,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2500
US House,Rep,4,F,65_or_older,European,Bach Degree - Extremely Likely,Republican,2501
US House,Dem,1,F,35-44,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2502
US Senate,Rep,1,M,65_or_older,European,NA,Republican,2503
US House,Rep,1,F,55-64,European,Bach Degree - Extremely Likely,Republican,2504
US House,Rep,2,M,35-44,European,HS Diploma - Extremely Likely,Democratic,2505
US House,Dem,0,F,45-54,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2506
US House,Rep,0,M,35-44,European,HS Diploma - Extremely Likely,Democratic,2505
US House,Rep,3,F,55-64,Likely African-American,Grad Degree - Likely,Democratic,2507
US House,Rep,3,F,55-64,Likely African-American,Grad Degree - Likely,Democratic,2507
US House,Rep,1,F,55-64,Likely African-American,Grad Degree - Likely,Democratic,2507
US House,Rep,1,F,55-64,Likely African-American,Grad Degree - Likely,Democratic,2507
US House,Rep,0,F,55-64,Likely African-American,Grad Degree - Likely,Democratic,2507
US House,Dem,5,M,35-44,Hispanic and Portuguese,NA,Non-Partisan,2508
US House,Dem,1,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2509
US House,Dem,0,F,55-64,European,Bach Degree - Extremely Likely,Democratic,2510
US House,Dem,5,M,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2511
US House,Dem,3,M,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2511
US House,Dem,3,F,35-44,Hispanic and Portuguese,NA,Democratic,2512
US Senate,Rep,2,M,65_or_older,Likely African-American,Bach Degree - Extremely Likely,Republican,2513
US House,Rep,1,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2514
US House,Dem,3,M,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2511
US House,Dem,2,M,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2511
US House,Dem,1,M,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,2511
US House,Dem,2,M,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,2515
US House,Dem,1,F,65_or_older,Other,Grad Degree - Extremely Likely,Democratic,2516
US Senate,Dem,5,F,55-64,European,Bach Degree - Extremely Likely,Democratic,2517
US Senate,Dem,5,F,55-64,European,Bach Degree - Extremely Likely,Democratic,2517
US Senate,Dem,5,F,55-64,European,Bach Degree - Extremely Likely,Democratic,2517
US Senate,Dem,6,F,55-64,European,Bach Degree - Extremely Likely,Democratic,2517
US House,Dem,6,M,65_or_older,European,Some College -Extremely Likely,Democratic,2518
US House,Dem,5,M,65_or_older,European,Some College -Extremely Likely,Democratic,2518
US House,Dem,5,M,65_or_older,European,Some College -Extremely Likely,Democratic,2518
US House,Dem,4,M,65_or_older,European,Some College -Extremely Likely,Democratic,2518
US House,Dem,3,M,65_or_older,European,Some College -Extremely Likely,Democratic,2518
US House,Rep,4,M,45-54,Hispanic and Portuguese,HS Diploma - Extremely Likely,Republican,2519
US House,Dem,2,M,65_or_older,European,Some College -Extremely Likely,Democratic,2518
US House,Dem,2,M,55-64,Hispanic and Portuguese,NA,Democratic,2520
US House,Dem,1,M,65_or_older,European,Some College -Extremely Likely,Democratic,2518
US House,Dem,0,M,35-44,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2521
US Senate,Rep,2,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2522
US House,Dem,3,M,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2523
US House,Dem,1,M,65_or_older,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,2524
US Senate,Rep,3,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,2525
US House,Rep,4,F,45-54,Hispanic and Portuguese,NA,Democratic,2526
US House,Rep,1,F,65_or_older,Hispanic and Portuguese,NA,Democratic,2527
US House,Dem,0,F,35-44,Hispanic and Portuguese,NA,Democratic,2528
US House,Rep,0,F,45-54,Hispanic and Portuguese,NA,Democratic,2526
US House,Rep,0,F,45-54,Hispanic and Portuguese,NA,Democratic,2526
US Senate,Rep,4,F,45-54,Hispanic and Portuguese,NA,Democratic,2526
US House,Rep,6,M,35-44,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2529
US House,Dem,6,F,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,2530
US House,Dem,5,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,4,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,3,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,2,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,2,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,2,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,0,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,2531
US House,Dem,1,F,35-44,Likely African-American,NA,Democratic,2532
US Senate,Dem,4,F,55-64,Hispanic and Portuguese,NA,Democratic,2533
US House,Dem,1,F,35-44,Hispanic and Portuguese,NA,Democratic,2534
US House,Dem,6,F,65_or_older,Likely African-American,Bach Degree - Extremely Likely,Democratic,2535
US House,Dem,6,F,65_or_older,Likely African-American,Bach Degree - Extremely Likely,Democratic,2535
US House,Dem,5,F,65_or_older,Likely African-American,Bach Degree - Extremely Likely,Democratic,2535
US House,Rep,2,F,65_or_older,European,NA,Non-Partisan,2536
US House,Dem,3,F,65_or_older,European,NA,Non-Partisan,2537
US House,Dem,0,F,65_or_older,Hispanic and Portuguese,NA,Democratic,2538
US House,Rep,6,F,65_or_older,European,Bach Degree - Likely,Republican,2539
US House,Rep,4,F,65_or_older,European,Bach Degree - Likely,Republican,2539
US House,Rep,5,F,65_or_older,European,Bach Degree - Likely,Democratic,2540
US House,Rep,5,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,2541
US House,Rep,5,F,65_or_older,European,HS Diploma - Extremely Likely,Non-Partisan,2542
US House,Rep,0,F,65_or_older,European,Some College - Likely,Republican,2543
US House,Dem,1,F,65_or_older,East and South Asian,NA,Democratic,2544
US House,Dem,1,F,35-44,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,2545
US House,Rep,4,F,55-64,European,Grad Degree - Likely,Non-Partisan,2546
US Senate,Dem,1,F,55-64,European,Bach Degree - Extremely Likely,Democratic,2547
US House,Rep,0,F,55-64,European,NA,Republican,2548
US Senate,Rep,6,F,55-64,European,NA,Republican,2548
US Senate,Rep,6,F,55-64,European,NA,Republican,2548
US Senate,Rep,4,F,55-64,European,NA,Republican,2548
US House,Dem,3,F,55-64,Hispanic and Portuguese,NA,Democratic,2549
US House,Dem,3,F,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,2550
US House,Dem,0,F,45-54,European,NA,Non-Partisan,2551
US House,Rep,1,F,45-54,European,NA,Democratic,2552
US House,Rep,2,F,45-54,European,Some College -Extremely Likely,Republican,2553
US House,Dem,6,F,35-44,European,Grad Degree - Likely,Democratic,2554
US House,Rep,0,F,35-44,European,HS Diploma - Likely,Republican,2555
US House,Rep,4,F,25-34,Hispanic and Portuguese,NA,Non-Partisan,2556
US House,Rep,4,F,25-34,Hispanic and Portuguese,NA,Non-Partisan,2556
US House,Dem,0,F,25-34,European,Bach Degree - Likely,Democratic,2557
US House,Rep,3,F,25-34,European,NA,Democratic,2558
US Senate,Dem,1,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,2559
US House,Dem,3,F,25-34,European,Grad Degree - Likely,Democratic,2560
US House,Dem,2,F,25-34,Hispanic and Portuguese,NA,Democratic,2561
US House,Rep,0,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,2562
US House,Rep,3,F,25-34,Hispanic and Portuguese,NA,Democratic,2563
US House,Dem,0,F,25-34,NA,NA,Non-Partisan,2564
